BUTY WILDFIRE NXT-BOMBAY BROWN-TUMERIC,"647,99",0 of 100,Oceń ten produkt jako pierwszy,"UK 7,5 (41) UK 8 (42) UK 8,5 (42,5) UK 9 (43) UK 9,5 (44) UK 10 (44,5) UK 11 (46) UK 11,5 (46,5) UK 12 (47)",2025-07-14,"Specyfikacja    Materiał  Cholewka: Matryx (Nylon o wysokiej wytrzymałości), polietylen, rant z termoplastycznego poliuretanuWkładka: CFF ProPodeszwa: Vibram All-Terrain Megagrip    Wyściółka  N.d.    Waga (g)  345 (½ pary rozm. 8 UK)    Kolor  Brązowy"
BUTY WILDFIRE NXT MID GTX-ALLOY-DARK OLIVE,"841,49",0 of 100,Oceń ten produkt jako pierwszy,"UK 8 (42) UK 8,5 (42,5) UK 9 (43) UK 9,5 (44) UK 10 (44,5) UK 10,5 (45) UK 11 (46) UK 11,5 (46,5) UK 12 (47)",2025-07-14,"Specyfikacja    Materiał  Cholewka: Matryx (Nylon o wysokiej wytrzymałości), polietylen,Rant: termoplastyczny poliuretan,Membrana: Gore-Tex Phoenix,Wkładka: CFF Pro,Podeszwa: Vibram All-Terrain Megagrip,Drop: 10 mm    GoreTex  Tak    Waga  380 g (½ pary rozm. 8 UK)    Kolor  Szary"
BUTY WILDFIRE NXT MID GTX-BOMBAY BROWN-TUMERIC,"791,99",0 of 100,Oceń ten produkt jako pierwszy,"UK 7,5 (41) UK 8 (42) UK 8,5 (42,5) UK 9 (43) UK 9,5 (44) UK 10 (44,5) UK 10,5 (45) UK 11 (46)",2025-07-14,"Specyfikacja    Materiał  Cholewka: Matryx (Nylon o wysokiej wytrzymałości), polietylen,Rant: termoplastyczny poliuretan,Membrana: Gore-Tex Phoenix,Wkładka: CFF Pro,Podeszwa: Vibram All-Terrain Megagrip,Drop: 10 mm    GoreTex  Tak    Waga  380 g (½ pary rozm. 8 UK)    Kolor  Brązowy"
BUTY WILDFIRE NXT GTX-QUICKSAND-DARK DENIM,"674,99",0 of 100,Oceń ten produkt jako pierwszy,"UK 7,5 (41) UK 8,5 (42,5) UK 9 (43) UK 9,5 (44) UK 10 (44,5) UK 10,5 (45) UK 11,5 (46,5)",2025-07-14,"Specyfikacja    GoreTex  Tak    Materiał  Cholewka: Matryx (Nylon o wysokiej wytrzymałości), polietylen, rant z termoplastycznego poliuretanuMembrana: Gore-Tex PhoenixWkładka: CFF ProPodeszwa: Vibram All-Terrain Megagrip    Wyściółka  Syntetyczna    Waga (g)  360 (½ pary rozm. 8 UK)    Kolor  Beżowy"
BUTY WILDFIRE NXT GTX-ONYX-IRISH GREEN,"899,99",0 of 100,Oceń ten produkt jako pierwszy,"UK 8,5 (42,5) UK 9,5 (44) UK 10 (44,5) UK 11 (46) UK 11,5 (46,5)",2025-07-14,"Specyfikacja    GoreTex  Tak    Materiał  Cholewka: Matryx (Nylon o wysokiej wytrzymałości), polietylen, rant z termoplastycznego poliuretanuMembrana: Gore-Tex PhoenixWkładka: CFF ProPodeszwa: Vibram All-Terrain Megagrip    Wyściółka  Syntetyczna    Waga (g)  360 (½ pary rozm. 8 UK)    Kolor  Szary"
BUTY PEDROC AIR-BLACK-CAMO,"615,99",0 of 100,Oceń ten produkt jako pierwszy,"UK 7,5 (41) UK 8 (42) UK 8,5 (42,5) UK 9 (43) UK 9,5 (44) UK 11 (46)",2025-07-14,Specyfikacja    Waga (g)  310 (½ pary rozm. 9 UK)    Kolor  Czarny
BUTY WILDFIRE NXT KNIT-ONYX-DARK OLIVE,"670,79",0 of 100,Oceń ten produkt jako pierwszy,"UK 8 (42) UK 8,5 (42,5) UK 9 (43) UK 9,5 (44) UK 10 (44,5) UK 10,5 (45) UK 11 (46) UK 11,5 (46,5)",2025-07-14,"Specyfikacja    Materiał  Cholewka: materiał nylonowy Matryx, rant z termoplastycznego poliuretanuWkładka: CFF ProPodeszwa zewnętrzna: Vibram Megagrip    Waga (g)  335 (½ pary rozm. 8 UK)    Kolor  Szary"
BUTY WILDFIRE NXT KNIT-ALLOY-TUMERIC,"687,99",0 of 100,Oceń ten produkt jako pierwszy,"UK 7,5 (41) UK 8 (42) UK 8,5 (42,5) UK 9 (43) UK 9,5 (44) UK 10 (44,5) UK 10,5 (45) UK 11 (46)",2025-07-14,"Specyfikacja    Materiał  Cholewka: materiał nylonowy Matryx, rant z termoplastycznego poliuretanuWkładka: CFF ProPodeszwa zewnętrzna: Vibram Megagrip    Waga (g)  335 (½ pary rozm. 8 UK)    Kolor  Szary"
BUTY HEDGEHOG MID GTX-TNF BLACK-ASPHALT GREY,"533,99",0 of 100,Oceń ten produkt jako pierwszy,"US 9 (42) US 9,5 (42,5) US 10 (43) US 10,5 (44) US 11 (44,5) US 11,5 (45) US 12 (45,5) US 12,5 (46) US 14 (47,5)",2025-07-14,"Specyfikacja    Materiał  Cholewka: skóra naturalna, syntetyczny nubuk z poliuretanowym wykończeniem, materiał mesh Membrana: Gore-Tex 3L z wyściółką z recyklinguŚrópodeszwa: pianka EVA o pojedynczej gęstościPodeszwa zewnętrzna: Vibram XS Trek    GoreTex  Tak    Waga (g)  ok. 466 (½ pary)    Kolor  Czarny"
BUTY HEDGEHOG MID GTX-NEW TAUPE GREEN-TNF BLACK,"524,99",0 of 100,Oceń ten produkt jako pierwszy,"US 8,5 (41) US 9 (42) US 9,5 (42,5) US 10 (43) US 10,5 (44) US 11 (44,5) US 11,5 (45) US 12 (45,5) US 12,5 (46) US 13 (47) US 14 (47,5)",2025-07-14,"Specyfikacja    Materiał  Cholewka: skóra naturalna, syntetyczny nubuk z poliuretanowym wykończeniem, materiał mesh Membrana: Gore-Tex 3L z wyściółką z recyklinguŚrópodeszwa: pianka EVA o pojedynczej gęstościPodeszwa zewnętrzna: Vibram XS Trek    GoreTex  Tak    Waga (g)  ok. 466 (½ pary)    Kolor  Zielony"
