BUTY WILDFIRE NXT WOMEN-ALLOY-ETRUSCAN RED,"647,99",0 of 100,Oceń ten produkt jako pierwszy,"UK 4,5 (37) UK 5 (38) UK 5,5 (38,5) UK 6 (39) UK 6,5 (40) UK 7 (40,5)",2025-07-14,"Specyfikacja    Materiał  Cholewka: Matryx (Nylon o wysokiej wytrzymałości), polietylen, rant z termoplastycznego poliuretanuWkładka: CFF Pro Podeszwa: Vibram All-Terrain Megagrip    Waga (g)  295 (½ pary rozm. 5 UK)    Kolor  Szary"
BUTY WILDFIRE NXT GTX WOMEN-ALLOY-DARK OLIVE,"719,99",0 of 100,Oceń ten produkt jako pierwszy,"UK 3,5 (36) UK 4 (36,5) UK 4,5 (37,5) UK 5 (38) UK 6 (39) UK 6,5 (40) UK 7 (40,5)",2025-07-14,"Specyfikacja    GoreTex  Tak    Materiał  Cholewka: Matryx (Nylon o wysokiej wytrzymałości), polietylen, rant z termoplastycznego poliuretanuMembrana: Gore-Tex Phoenix  Wkładka: CFF ProPodeszwa: Vibram All-Terrain Megagrip    Wyściółka  N.d.    Waga (g)  305 (½ pary rozm. 5 UK)    Kolor  Szary"
BUTY WILDFIRE NXT GTX WOMEN-QUICKSAND-ETRUSCAN RED,"719,99",0 of 100,Oceń ten produkt jako pierwszy,"UK 4,5 (37) UK 5 (38) UK 5,5 (38,5) UK 6 (39) UK 6,5 (40) UK 7 (40,5)",2025-07-14,"Specyfikacja    GoreTex  Tak    Materiał  Cholewka: Matryx (Nylon o wysokiej wytrzymałości), polietylen, rant z termoplastycznego poliuretanuMembrana: Gore-Tex Phoenix  Wkładka: CFF ProPodeszwa: Vibram All-Terrain Megagrip    Wyściółka  N.d.    Waga (g)  305 (½ pary rozm. 5 UK)    Kolor  Beżowy"
BUTY WILDFIRE NXT MID GTX WOMEN-ONYX-QUIET SHADE,"841,49",0 of 100,Oceń ten produkt jako pierwszy,"UK 5 (38) UK 5,5 (38,5) UK 6 (39) UK 6,5 (40) UK 7 (40,5) UK 7,5 (41)",2025-07-14,"Specyfikacja    Materiał  Cholewka: Matryx (Nylon o wysokiej wytrzymałości), polietylen,Rant: termoplastyczny poliuretan,Membrana: Gore-Tex Phoenix,Wkładka: CFF Pro,Podeszwa: Vibram All-Terrain Megagrip,Drop: 10 mm    GoreTex  Tak    Waga  325 g (½ pary rozm. 5 UK)    Kolor  Szary"
BUTY WILDFIRE NXT MID GTX WOMEN-QUICKSAND-ETRUSCAN RED,"791,99",0 of 100,Oceń ten produkt jako pierwszy,"UK 5 (38) UK 5,5 (38,5) UK 6 (39) UK 6,5 (40) UK 7 (40,5) UK 7,5 (41)",2025-07-14,"Specyfikacja    Materiał  Cholewka: Matryx (Nylon o wysokiej wytrzymałości), polietylen,Rant: termoplastyczny poliuretan,Membrana: Gore-Tex Phoenix,Wkładka: CFF Pro,Podeszwa: Vibram All-Terrain Megagrip,Drop: 10 mm    GoreTex  Tak    Waga  325 g (½ pary rozm. 5 UK)    Kolor  Beżowy"
BUTY WILDFIRE NXT KNIT WOMEN-ALLOY-IRISH GREEN,"687,99",0 of 100,Oceń ten produkt jako pierwszy,"UK 3,5 (36) UK 4 (36,5) UK 4,5 (37) UK 5 (38) UK 5,5 (38,5) UK 6 (39) UK 6,5 (40) UK 7 (40,5)",2025-07-14,"Specyfikacja    Materiał  Cholewka: materiał nylonowy Matryx, rant z termoplastycznego poliuretanuWkładka: CFF ProPodeszwa zewnętrzna: Vibram Megagrip    Waga (g)  285 (½ pary rozm. 5 UK)    Kolor  Szary"
BUTY HEDGEHOG MID GTX WOMEN-SMOKED PEARL-ASPHALT GREY,"559,99",0 of 100,Oceń ten produkt jako pierwszy,"US 7 (38) US 7,5 (38,5) US 8 (39) US 8,5 (39,5) US 9 (40) US 9,5 (40,5) US 10 (41)",2025-07-14,"Specyfikacja    Materiał  Cholewka: skóra naturalna, syntetyczny nubuk z poliuretanowym wykończeniem, materiał meshMembrana: Gore-Tex 3L z wyściółką z recyklinguŚrópodeszwa: pianka EVA o pojedynczej gęstościPodeszwa zewnętrzna: Vibram XS Trek    GoreTex  Tak    Waga (g)  ok. 387 (½ pary)    Kolor  Szary"
BUTY HEDGEHOG GTX WOMEN-DUCK GREEN-CLAY GREEN,"519,99",0 of 100,Oceń ten produkt jako pierwszy,"US 6,5 (37,5) US 7 (38) US 7,5 (38,5) US 8 (39) US 8,5 (39,5) US 9 (40) US 9,5 (40,5) US 10 (41)",2025-07-14,"Specyfikacja    GoreTex  Tak    Materiał  Cholewka: skóra naturalna, syntetyczny nubuk z poliuretanowym wykończeniem, materiał meshMembrana: Gore-Tex 3L z wyściółką z recyklinguŚrópodeszwa: pianka EVA o pojedynczej gęstościPodeszwa zewnętrzna: Vibram XS Trek    Waga (g)  344 (½ pary)    Kolor  Zielony"
BUTY HEDGEHOG GTX WOMEN-TNF BLACK-ASPHALT GREY,"519,99",0 of 100,Oceń ten produkt jako pierwszy,"US 6,5 (37,5) US 7 (38) US 7,5 (38,5) US 8 (39) US 8,5 (39,5) US 9 (40) US 9,5 (40,5) US 10 (41)",2025-07-14,"Specyfikacja    GoreTex  Tak    Materiał  Cholewka: skóra naturalna, syntetyczny nubuk z poliuretanowym wykończeniem, materiał meshMembrana: Gore-Tex 3L z wyściółką z recyklinguŚrópodeszwa: pianka EVA o pojedynczej gęstościPodeszwa zewnętrzna: Vibram XS Trek    Waga (g)  344 (½ pary)    Kolor  Czarny"
BUTY HEDGEHOG MID GTX WOMEN-TNF BLACK-ASPHALT GREY,"559,99",0 of 100,Oceń ten produkt jako pierwszy,"US 7 (38) US 7,5 (38,5) US 8 (39) US 8,5 (39,5) US 9 (40) US 9,5 (40,5) US 10 (41)",2025-07-14,"Specyfikacja    Materiał  Cholewka: skóra naturalna, syntetyczny nubuk z poliuretanowym wykończeniem, materiał meshMembrana: Gore-Tex 3L z wyściółką z recyklinguŚrópodeszwa: pianka EVA o pojedynczej gęstościPodeszwa zewnętrzna: Vibram XS Trek    GoreTex  Tak    Waga (g)  ok. 387 (½ pary)    Kolor  Czarny"
